,SG_UF_RESIDENCIA,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_REDACAO
112,SE,2807105,Simão Dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,SP,3502804,Araçatuba,390.0,524.1,492.5,462.0,120.0,120.0,100.0,500.0
114,SP,3505302,Barra Bonita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,SP,3506003,Bauru,484.6,636.0,565.5,603.9,160.0,120.0,140.0,680.0
116,SP,3510609,Carapicuíba,145.23333333333332,208.70000000000002,159.16666666666666,176.4,40.0,46.666666666666664,40.0,200.0
117,SP,3512803,Cosmópolis,612.9,648.8,567.5,605.4,120.0,100.0,120.0,520.0
118,SP,3515004,São Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,SP,3515707,São Caetano do Sul,453.6,548.8,474.1,572.0,120.0,120.0,120.0,540.0
120,SP,3518701,Guarujá,520.0,638.4,551.8,478.3,140.0,120.0,140.0,760.0
121,SP,3518800,Guarulhos,433.9,618.2,635.2,432.3,120.0,120.0,80.0,500.0
122,SP,3522604,Itapira,399.5,590.4,357.7,493.9,100.0,120.0,100.0,520.0
123,SP,3523909,Itu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,SP,3529401,Mauá,584.7,635.8,593.9,657.0,160.0,160.0,160.0,800.0
125,SP,3530607,Porto Alegre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,SP,3539806,Poá,447.1,655.0,602.3,623.4,120.0,120.0,120.0,620.0
127,SP,3540200,Pontal,637.2,674.2,645.7,738.9,160.0,160.0,120.0,700.0
128,SP,3541208,Presidente Prudente,554.6,626.3,560.6,445.8,140.0,120.0,140.0,620.0
129,SP,3543402,Ribeirão Preto,520.0,695.8,672.9,530.3,160.0,180.0,160.0,800.0
130,SP,3547809,Santo André,205.66666666666666,208.86666666666667,178.4333333333333,188.76666666666665,33.333333333333336,40.0,33.333333333333336,173.33333333333334
131,SP,3548708,São Bernardo do Campo,255.35,281.2,252.5,262.0,60.0,60.0,60.0,280.0
132,SP,3550308,São Paulo,356.62857142857143,412.30000000000007,385.7142857142857,392.5285714285714,102.85714285714286,102.85714285714286,94.28571428571429,474.2857142857143
133,SP,3550308,Taboão da Serra,0.0,612.5,604.7,0.0,160.0,120.0,120.0,640.0
134,SP,3552205,Sorocaba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,SP,3556206,Valinhos,524.1,542.8,525.4,473.6,120.0,120.0,120.0,500.0
136,TO,1709500,Gurupi,467.4,640.5,516.7,642.3,120.0,120.0,120.0,640.0
137,TO,1721000,Palmas,592.0,645.7,585.9,476.1,120.0,120.0,120.0,620.0
